,audit_observation,recommendations,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
1904,,"7. the water system project of the municipality did not meet the targeted number of households/ concessionaires in five (5) barangays as of december 31, 2012, hence actual income of the project could not meet its personal services costs and maintenance and other operating costs. we recommended that the municipal mayor should instruct the water system foreman and the municipal engineer to jointly review the status of the water system project for a possible upgrading or rehabilitation to ensure that quality water standards are met. devise measures to improve the water supply operation and collection efficiency. this is a reiterated finding and recommendation in the 2011 annual audit report.",n/a n/a,partially implemented. collections had increased but still cannot meet the required monthly amortization of the loan. ,"management did not meet the targeted concessionaires but was able to increase the collection as of december 31, 2013. management continued to exert additional effort for its collection.",2012 aar page 22 ,05-sanpablo_part3-status_of_pys_audit_recommendations.pdf
1960,,a. evaluate each,not,gad related,the lgu,cy,01-sikatuna2013_audit_report.pdf
2136,," we recommended strict compliance with the pertinent provisions of coa circular nos. 97-002 and 2012-004 which require full liquidation of cash advances at the end of each year and/or as soon as the purpose for which it was given has been completed. the municipal accountant should prioritize the immediate liquidation of the outstanding cash advances by sending demand letters regularly to officials and employees and by recommending to the local chief executive the withholding of payment of any money due them in case of failure to liquidate their cash advances. if applicable, legal remedies may be resorted to by the management for the settlement of long overdue cash advances. we further recommended that the management initiate the filing of request for the write off of p27,000.00 from the commission on audit pertaining to the outstanding balance of deceased employees.",n/a n/a, , ,"part ii, observati on no. 2, page 23 to 24, cy 2012 arr ",culion2013_audit_report.pdf
2141,," we recommended that the municipal engineer should immediately implement the pending projects. furthermore, it is required that all documents relevant to the fund transfer to the municipality and status report be accomplished and submitted to auditor’s office for review and evaluation by the audit team. the local chief executive must also submit copy of the memorandum of agreement and sub-allotment appropriations.",n/a n/a, , ,"part ii, observati on no.7, page 33 to 34, cy 2012 aar ",culion2013_audit_report.pdf
2211,,"1. the liquidating officer did not deposit his collections intact and daily resulting in the accumulation of the cash in vault-general fund balance of p10,238,895.92 as of december 31, 2012. moreover, the municipal treasurer failed to monitor the collections and remittances and was laxed in the issuance of official receipts to the collectors. also, the collections of the collecting officers were not remitted intact and daily to the liquidating officer which is contrary to existing laws, rules and regulations, thus government funds may be used for personal purposes. we recommended that the municipal treasurer should cause the immediate deposit of the undeposited collections as of december 31, 2012 under the general fund in the amount of p10,238,895.92. moreover, he should now require the collecting officers/liquidating officer to remit/deposit their collections intact and daily pursuant to existing laws, rules and regulations to avoid the further increase of undeposited collections. the municipal treasurer should conduct an inventory of the accountable forms issued to the collectors to determine whether there are used ors which remain unsubmitted. thereafter, he should demand the remittance of collections which are still in the possession of the collectors. furthermore, the municipal treasurer should control the issuance of ors to the collectors. he should limit it to one (1) or two (2) booklets per collector depending on their average consumption. he should maintain a subsidiary ledger for the accountable forms issued to each collector to facilitate the determination of their accountabilities. upon remittance, the collectors should present their unused ors to ensure that all collections are remitted.",n/a n/a,not implemented. reiterated in finding no. 1 of the report. ,"the municipal treasurer did not deposit fully the collections on hand. moreover, management continued the use of collections in the payment of lgu expenses . ","aar 2012 observ ation no.1, pages 20-22 ",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2212,,2. the grant and liquidation of cash advances were not in accordance with the,,implemented,the cash advances granted to officers and employees were fully,aar 2012 observ,05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2214,,"3. cash in bank balances of the three (3) funds as of december 31, 2012 amounting to p8,237,652.24 are not reliable due to non- preparation or delayed preparation of monthly bank reconciliation statements contrary to the provisions of section 74 of presidential decree no. 1445 and section 3.2 of coa circular no. 96-011. we recommended that the municipal accountant should regularly prepare the monthly bank reconciliation statements in compliance with p.d. no. 1445 and coa circulars 96-11. in doing so, appropriate adjustments shall be made to reconcile the bank and ledger balances and so with the cashbook balance of the municipal treasurer.",,implemented,monthly bank reconciliation statements were prepared by the accounting section.,"aar 2012 observ ation no.3, pages 24-25",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2215,,"4. the validity, existence and correctness of the property, plant and equipment (ppe) account costing p92,210,897.58 as of december 31, 2012 could not be ascertained due to the failure of the lgu to submit the report on the physical count of ppe and to maintain property ledger cards and the non- reconciliation of property records by the municipal accountant’s office and the property custodian which is contrary to existing law, rules and regulations. we recommended that the management should require the inventory committee to prepare the report on the physical count of the ppe after the conduct of the physical inventory of properties and submit the same to the office of the auditor. moreover, a copy of the report should be submitted to the municipal accountant for reconciliation. furthermore, the accounting office and the property custodian should update and reconcile their existing records and effect adjustments, if necessary.",n/a n/a,not implemented reiterated in finding no. 5 of the report. ,management failed to conduct physical inventory of properties during the year. ,"aar 2012 observ ation no.4, pages 25-27 ",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2216,,"5. the firefighting equipments and accessories account with a net amount of p37,543.39 as of december 31, 2012 was not reclassified to disaster response and rescue equipment account in non-compliance with coa circular no. 2012- 002. we recommended that the municipal accountant should effect the necessary adjustments to reclassify the fire fighting equipment and accessories account to disaster response and rescue equipment account. the following are the proposed adjusting entries: disaster response and rescue equipment p94,960.00 fire fighting equipment and accessories p94, 960.00 accumulated depreciation – fire fighting equipment and accessories 57,416.61 accumulated depreciation – disaster response and rescue equipment 57,416.61",n/a n/a,implemented . ,"the municipal accountant furnished the audit team with a copy of the jev dated january 2, 2013 prepared to effect the adjustment. ","aar 2012 observ ation no.5, page 27-28 ",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2217,,"6. current portion of long-term debts amounting to p2,000,613.84 were not classified as other payables (439) contrary to the provisions of section 161 of the manual on the new government accounting system for local government units, volume iii thus liabilities were not fairly presented in the financial statements as of year-end. we recommended that the municipal accountant should make the necessary adjustments to set up the current portion of long term liabilities in accordance with the above-cited provisions of the manual on the ngas for lgus, volume iii.",n/a n/a,implemented . ,"the municipal accountant furnished the audit team with a copy of the jev dated january 2, 2013 prepared to effect the adjustment. the current portion of long term loan was also set up as of december 31, 2013. ","aar 2012 observ ation no.6, pages 28-29 ",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2218,,"7. transactions relating to the construction of the new public market in the amount of p19,985,186.33, funded by the municipal development fund office loan, was recorded in the trust fund books contrary to section 95 of the manual on the new government accounting system manual for local government units, volume i, thus, the affected accounts in the general and trust fund books are not fairly presented. we recommended that the municipal accountant should make the necessary adjustments to transfer the transactions pertaining to the new public market funded out of the mdfo loan from the trust fund to a special account in the general fund pursuant to section 95 of the manual on the ngas for lgus, volume i. moreover, the loans payable from dof should be transferred from the gf proper to the special account for mdfo loan. the following are the proposed adjusting entries: trust fund books: due to other funds p19, 985,186.33 construction in progress- agency assets p19, 985,186.33 (to record the transfer of cip- agency assets to a special account in the gf and to close the due to other funds account) special account in the gf – construction of new public market: construction in progress- agency assets p19, 985,186.33 loans payable-domestic p19, 985,186.33 (to record the transfer of cip- agency assets from tf to the special account in the gf and to transfer the loans payable from gf proper to the special account.) general fund proper: loans payable-domestic p19, 985,186.33 due from other funds p19, 985,186.33 (to record the transfer of loans payable from gf proper to the special account and to close the due from other funds account.)",n/a n/a,implemented ,"the municipal accountant furnished the audit team with a copy of the jev dated january 2, 2013 prepared to effect the adjustments. ","aar 2012 observ ation no.7, pages 29-30 ",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2219,,"8. the accounts of the lgu for the cy 2012 were only submitted to the commission on audit on march 6 and 7, 2013 which is not in accordance with",,not implemented,management failed to submit their accounts on time.,"aar 2012 observ ation no.8, pages",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2221,,"9. procurement of goods and services for infrastructure projects in the total amount of p18,570,491.25 were made on a reimbursement basis which is not in accord with section 93 of presidential decree no. 1445 and section 3, rule i of the revised implementing rules and regulations of republic act no. 9184, casting doubt as to whether said transactions are the most advantageous to the lgu and also depriving the bureau of internal revenue of the taxes due thereon. moreover, disbursement vouchers covering payment of said reimbursements were not supported with complete documents contrary to section 4(6) of presidential decree no. 1445, thus, the validity and legality of the transactions cannot be ascertained. to forestall the occurrence of similar transactions, we recommended that management should strictly comply with the provisions of the revised implementing rules of r.a. no. 9184 in the procurement of goods and services. moreover, the practice of disbursements through reimbursement should be refrained by paying the amount due directly to the creditor.",,not implemented reiterated in finding no. 12 of the report.,reimbursement method is still adopted in the procurement of goods and services.,"aar 2012 observ ation no.9, pages 32-34",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2222,,"furthermore, disbursement vouchers covering payment of transactions should be duly supported with complete documents. 10. some of the programs and projects charged to the 20% internal revenue allotment for development projects are not among those intended projects covered by the fund which is not in accord with dilg-dbm joint memorandum circular no. 2011-1, resulting in the irregular disbursement of municipal funds. we recommended that the municipal budget officer should ensure that the programs and projects to be included in the priority development projects funded by the 20% development fund of the lgu should be consistent with the priority programs and projects contained in dilg-dbm joint memorandum circular no. 2011-1 to avoid the unauthorized use of municipal funds.",,not implemented reiterated in finding no. 14 of the report.,there are still programs and projects charged by management under the 20% df which should have not been covered by said fund.,"aar 2012 observ ation no.10, pages 34-35",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2223,,11. the lgu did not procure common use supplies and equipment from the procurement service which is not in compliance with the provisions of administrative order no. 17. we recommended that the lgu should start procuring common use supplies and equipment from the procurement service pursuant to the provisions of administrative order no. 17. the procurement of supplies regularly needed by the different departments should be consolidated for each quarter.,n/a n/a,not implemented reiterated in finding no. 13 of the report. ,the lgu did not procure yet from the procurement service ,"aar 2012 observ ation no.11, pages 35-36 ",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2224,,"12. the local disaster risk reduction management fund (ldrrmf) was used to pay expenses which are not in any way related to disaster risk management programs/activities contrary to section 21 of republic act no. 10121, resulting in the illegal disbursement of municipal funds. moreover, some of the expenses incurred thereto are considered unnecessary and extravagant. furthermore, current year appropriations were used to pay prior year expenses which is not in accord with existing laws, rules and regulations, thus, the disbursements are considered irregular and the related expense accounts presented in the financial statements are misstated. we recommended that the municipal mayor should require the concerned municipal officials and employees to ensure that the ldrrmf should be used exclusively for disaster risk management activities/programs pursuant to r. a. no. 10121. moreover, they should avoid using current year appropriations to pay prior year expenses in compliance with pertinent laws, rules and regulations and also to reflect the actual expenses pertaining to the current period presented in the financial statements.",n/a n/a,implemented ,management substantially used the ldrrmf for disaster risk reduction management programs and activities. ,"aar 2012 observ ation no.12, pages 36-38 ",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2225,,"13. the unexpended balance of the ldrrmf in the amount of p65,781.42 was not transferred to the special trust fund under the account trust liability- drrm in the trust fund books which is contrary to existing law, rules and regulations, thus the amount was not set aside for the purpose of supporting disaster risk reduction and management activities within the next five (5) years. we recommended that the municipal accountant should transfer at year-end the unexpended balance of the qrf and drrmf- mooe to the special trust fund under the account “trust liability- drrm” in the trust fund books pursuant to coa circular no. 2012-002. moreover, he should maintain a separate registry of appropriations, allotments and obligations for the ldrrmf – raao - for qrf, raao – for mooe and raao - for co for the easy determination of the unexpended balance of the fund.",n/a n/a,not implemented reiterated in findings no. 8 of the report. ,the municipal accountant failed to transfer at year-end the unexpended balance of the ldrrmf for cy 2013 to the trust liability-drrm account in the trust fund books . ,"aar 2012 observ ation no.13, pages 38-39 ",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2226,,"14. the municipal treasurer and the municipal accountant failed to regularly reconcile the cashbook balances with the general ledger balances for cash accounts contrary to coa memorandum no., 84-373 and section 6.3 of coa circular no. 97-002, hence, errors committed will not be timely adjusted. we recommended that the municipal accountant and the municipal treasurer should reconcile regularly the cash balances of the general ledger and the cashbook in compliance with coa memorandum no., 84-373 and section 6.3 of coa circular no. 97-002.",,not implemented reiterated in finding no. 2 of the report.,no reconciliation has been made between the accounting and treasury office because the cashbooks of the municipal treasurer are not yet updated.,"aar 2012 observ ation no.14, pages 39",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2227,,"15. the accountability for accountable forms cannot be easily established due to the non-preparation by the office of the treasurer of a complete consolidated report of accountability for accountable forms (craaf) and the non- submission of the same on time together with the individual raaf of all collectors, contrary to section 51 of the manual on the new government accounting system for lgus, volume ii. we recommended that the municipal treasurer should require the collectors to prepare their report of accountability for accountable forms on a monthly basis and submit the same to him for the preparation of the monthly consolidated report of accountability for accountable forms. said reports should be submitted to the office of the auditor not later than the 5th day of the ensuing month pursuant to section 51 of the manual on the ngas for lgus, volume ii.",,not implemented reiterated in finding no. 3 of the report.,the consolidated report of accountability for accountable forms (craaf) and the individual raaf of collectors are not yet prepared.,"aar 2012 observ ation no.15, pages 39-40",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2228,,16. real property tax receivables and special education tax receivables were not set- up at the beginning of the year contrary to the,,not implemented. reiterated in finding no. 07 of the report.,real property tax receivables and special education tax receivables were not set-up at the beginning of cy 2013.,"aar 2012 observ ation no.16, pages",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2258,,,"265,716.00","6,461,847.33","6,727,563.33",mooe,01-consolacion2013_audit_report.pdf
2263,,,"1,162,441.05",4,"432,000.00",01/06/14,01-consolacion2013_audit_report.pdf
2264,,,"268,246.33",5,"894,194.72",01/07/14,01-consolacion2013_audit_report.pdf
2265,,,15.08,6,"268,231.25",01/08/14,01-consolacion2013_audit_report.pdf
2266,,,-,8,15.08,01/10/14,01-consolacion2013_audit_report.pdf
2269,,,"454,487.06",4,"600,000.00",01/06/14,01-consolacion2013_audit_report.pdf
2405,," the lce fully organize the general services office and appoint qualified and competent employees to handle the inventory taking and the property records of the municipality.  require each department head to fast track inventory of all properties under their office and submit the inventory report to the committee for validation and verification of the correctness and existence of the property.  compel the inventory committee to fully accomplish the rpcppe, indicating the actual count and complete details, and the results of the actual count shall be reconciled with the property and accounting records. all discrepancies between physical and book inventories must be investigated, adjusted and reconciled immediately. check the condition of the property, damage, obsolete and unserviceable property and shall be reported in the inventory and inspection report of unserviceable and waste materials report and immediately request for disposal.  the general services officer should maintain property cards per category of property, plant and equipment indicating acquisition date, the brief descriptions and reconcile with the records of the accounting office to determine the correctness of the property records.",n/a n/a,no explanation from the management and reply to our management letter , ,"part ii, observati on no. 1, page 19 to 20, cy 2012 arr ",cuyo2013_audit_report.pdf
2407,," we recommended that the management should impose salary deductions from those officials and employees who have not settled their cash advances for travel or for other purposes, as well as the institution of other sanctions, as provided for under sections 5.1.3 and 5.9 of coa circular no. 97-002 and section 16 of executive order 248.  send demand letters to those separated from the service to immediately liquidate/settle their cash advances. likewise, the management should request from coa for write-off the accounts of deceased employees.  re-classify the accounts of ms. jasmine v. cervancia and mr. honesto gacott, jr., collecting officer, in the amount of p73,060.70 and p163,026.43, respectively, to “other receivables” account and demand for immediate remittance or turn-over of collections to the municipal treasurer.",n/a n/a,no explanation from the management and reply to our management letter , ,"part ii, observati on no.3, page 23 to 24, cy 2012 aar ",cuyo2013_audit_report.pdf
2409,," we recommended that the ldrrmf for the drrm program should be prepared annually included in the general fund budget. present the 30% qrf allocation in lump-sum while the allocation for disaster mitigation, prevention and preparedness projects, activities and programs should prepared in detailed manner. present in separate caption the previous year’s unexpended and unimplemented list of projects and activities.  the ldrrmo should submit the monthly report on sources and utilization of drrmf using the format provided by the said circular to facilitate the evaluation and monitoring of the projects and activities funded out of this fund. expenses out of 30% qrf should be supported by declaration of state of calamity by local sanggunian resolution and all projects and activities funded by 70% mitigation fund should be listed in the approved ldrrmfip as incorporated in the local development plan and annual work and financial plan.",n/a n/a, , ,"part ii, observati on no. 5, page 26 to 27,cy 2012 aar ",cuyo2013_audit_report.pdf
2411,," we recommended that the gad focal point should reformulate the existing programs, activity, and projects (p/a/p). we noted the 2012 identified gad activities are the same with that of 2013. gad plan and budget should address gender issues and promote women’s empowerment and gender equality as prescribed by the said joint memorandum circular. we also recommended strict adherence to the provisions of dbm-neda- ncrfw joint circular no. 2004-01 and to submit the required reports to the concerned national government agencies",n/a n/a, , ,"part ii, observati on no.7, page 30 to 32, cy 2012 aar ",cuyo2013_audit_report.pdf
2491,,"1. receivables for real property tax under the general fund and special education fund were not set-up in the books which was not in conformity with the provision of section 20 of manual on the new government accounting system (mngas), vol. i, thus actual receivables from real property taxes during the year could not be determined. we recommended that management strictly adhere to the provision of section 19 and 20 of mngas in setting up the rpt/set receivables in accordance with the above-cited rules and regulations to reflect the actual collectibles from real property tax in the financial statements of the municipality.",,not implemented.,no assessment roll finished to municipal treasurer’s office which served as the basis in the computation or real property tax receivables due to editing of default installation of updated itax build 104 of real property owner. printing was suspended temporarily pending correction of software error. tentative printing submission of assessment roll will hopefully start first week of august 2013.,aar 2012,01-dasol2013_audit_report.pdf
2492,,"2. due from other funds account did not reconcile with due to other funds account by p412,553.42 thereby affecting the reliability of the accounts in the financial statements as of december 31, 2012. we recommended that the municipal accountant exert effort to reconcile the due from other funds account with the due to other funds account and draw the necessary adjusting or correcting entries in the books in order to reflect the correct balances in the financial statements.",n/a n/a,not implemented. ,"we are already in process of reconciling the accounts. we will draw the necessary adjustments as soon as the reconciliation is finished by the end of 3rd quarter, 2013.",aar 2012 ,01-dasol2013_audit_report.pdf
2493,,"3. petty cash fund vouchers were used for check payments of travelling expenses instead of disbursement vouchers, thus not in consonance with sections 32 and 33 of manual on the new government accounting system (mngas), vol. ii. we recommended that management strictly observe the use of disbursement voucher for payment of travelling expenses in order to ensure complete details of the financial transactions and in the recording thereof in the books of accounts.",,implemented.,"all disbursements in excess of one thousand pesos (php1,000.00) are paid thru checks. one thousand pesos (php1,000.00) & below are paid thru petty cash except for travelling expenses",aar 2012,01-dasol2013_audit_report.pdf
2494,,"4. advances to officers and employees amounting to p194,020.00 granted to various municipal officials and employees have remained unliquidated/unsettled at year-end which was not in consonance with the provision of coa circular no. 97-002 dated february 10, 1997. we recommended that management exert efforts in causing the immediate settlement/liquidation of the cash advances in accordance with the provisions of coa circular no.97-002. we also recommended that the municipal administration effect deduction of the unliquidated cash advances from the salaries of the officials and employees concerned.",n/a n/a,implemented. ,"cash advances were either liquidated or refunded thru salary deductions of officials & employees concerned, leaving a balance of forty thousand eight hundred five pesos (php40,805.00) with the following breakdown. gf php36,805.00 sef 4,000.00 total php40,805.00",aar 2012 ,01-dasol2013_audit_report.pdf
2495,,5. some copies of approved contracts together with the supporting papers were not submitted to the office of the auditor as required in coa circular no. 2009-001 thus precluding the auditor from immediate review and evaluation thereof. we recommended that management comply strictly with the above-cited provision in the submission of copies of approved contracts including the supporting documents for review and evaluation.,,implemented.,we have subsequently submitted all approved contracts with the supporting papers to coa for review.,aar 2012,01-dasol2013_audit_report.pdf
2496,,6. bank reconciliation statement (brs) was prepared for all funds instead of brs for each bank account maintained by the municipality; hence the difficulty in the review and verification of the cash in bank account. we recommended that the municipal accountant prepare bank reconciliation statement for each bank account and maintain subsidiary ledgers for each account in order to ensure that book balance for each fund reconcile with the bank balance of each deposit account.,,not implemented.,july 2013,aar 2012,01-dasol2013_audit_report.pdf
2497,,7. the gender and development plan and accomplishment report were not submitted to the philippine commission on women (pcw) for review and endorsement to the department of budget and management (dbm) which is not in conformity with pcw- neda-dbm joint circular no. 2012-01. we recommended that management require the submission of the gad plan and budget and accomplishment report to philippine commission on women (pcw) for review and endorsement to dbm in consonance with the provision of section 8.2 of pcw-neda-dbm joint circular 2012-01.,n/a n/a,partially implemented. ,"gad plan & budget for the current year was sent to ncwp (national council of women of the philippines) thru email add ncwp_abr@yahoo.com & edo@pcw.gov.ph sometime last week around of may, however, the accomplishment report for 2012 was not sent. nonetheless, copies of the gad plan & budget & the accomplishment report were submitted to the office of the dilg province. ",aar 2012 ,01-dasol2013_audit_report.pdf
2498,,"8. the municipality did not submit a report on the physical inventory of plant, property and equipment (ppe) with a total book value of p91,566,817.01 thus casting doubts as to the reliability of the accounts. we recommended that management expedite the preparation of the physical inventory and submit the same to the office of the auditor in compliance with section 122 of pd1445 and sections 65 and 66 of the mngas, vol. ii.",,not implemented.,"we have initially conducted physical inventory of property, plant & equipment in the latter part of may, as a result of the meeting among the different department heads & the municipal mayor in compliance with the order of the dilg, in relation to the turnover of the incumbent municipal officials to incoming elected officials. we hope to complete the inventory before year-end.",aar 2012,01-dasol2013_audit_report.pdf
2499,,"we recommended that the municipal treasurer release the 25% barangay shares from the basic real property tax collections to the barangays within five (5) days after the end of each quarter in compliance with section 271(d) of r.a. 7160 to enable the barangays to utilize the funds in the implementation of other development projects, programs or activities for the benefit of their constituents. we also recommended that the release of barangay shares be directly deposited/credited to their respective bank accounts.",n/a n/a,not implemented. , ,aar 2012 ,01-dasol2013_audit_report.pdf
2501,,"11. the agency had withheld taxes from compensation of municipal officials and employees and value added taxes from suppliers and contractors in the total amount of p3,677,357.10 of which the amount of p3,117,635.69 was remitted to the bureau of internal revenue, thereby leaving a balance of p559,721.41 as of december 31, 2012. we recommended that management continue to collect bir taxes and regularly remit to the national government.",n/a n/a,implemented. ,"remitted in january, 2013. the balance represents collections of withholding taxes for december, 2012 to be remitted in the following month. ",aar 2012 ,01-dasol2013_audit_report.pdf
2594,,1. the reliability and correctness of the cash in bank account balances were doubtful due to the non reconciliation of the cashbook with the subsidiary ledger account balance. we recommended that the local chief executive instruct the municipal accountant and the municipal treasurer to: (a)reconcile the balances of cash in bank accounts per cashbooks maintained in the treasury office and subsidiary ledgers kept in the accounting office at least once a month; and (b)make adjustment in the cashbook and in subsidiary ledger for discrepancies that may be found in the process of reconciliation to establish the correct/adjusted cash account balances and submit the updated monthly bank reconciliation statement for all fund so as to establish the correct balances of all depository accounts maintained with the bank.,implemented,,the concerned treasury official make effort to reconcile her record with the subsidiary ledger account balances.,cy 2012 aar,11-dingalan2013_part3-status_of_py's_recommendations.pdf
2595,,observations/ recommendations,status of implementation,reason for partial/non- implementati on,management action,ref.,11-dingalan2013_part3-status_of_py's_recommendations.pdf
2596,,"2. the correctness and existence of property, plant and equipment amounting to p44,310,541.55 could not be established due to the failure to conduct complete physical inventory and the absence of the property records contrary to section 114 and 124 of the new government accounting system (ngas) manual, volume i. we recommend that the local chief executive require the municipal treasurer and/or the designated property officer to strictly observed the yearly preparation of physical inventory of all property owned by the municipality. determine those obsolete, worn out and unserviceable, and drop these from the book of account to come up with correct balances of ppe account. reconcile it with the books of account and submit the corresponding report to the auditor to ascertain its validity.",not implemented ,lack of technical/ competent personnel ,"no action was taken to conduct, prepare and submit complete physical inventory report of ppe",cy 2012 aar ,11-dingalan2013_part3-status_of_py's_recommendations.pdf
2597,,"3. cash advances totalling p1,256,464.28 were not liquidated as of december 31, 2012 contrary",partially implemented,other accountable officer are no longer,"partial liquidation had been made, but still",cy 2012 aar,11-dingalan2013_part3-status_of_py's_recommendations.pdf
2598,,"4. the unobligated balance of the local disaster risk reduction and manage ment fund (ldrrmf) amounting to p1,183,366.04 was not transferred to a special trust fund in the trust fund books in violation of coa circular no. 2012-002, thereby exposing the said fund to possible misapplication. we recommended that the municipal accountant draw a journal entry voucher in the general and trust fund books in order to transfer the unexpended/unobligated balance of the ldrrmf in a special trust fund in order to ensure and facilitate the continued use of the fund for disaster risk reduction and management activities as provided in the ldrrmfip within the next five years.",not implemented,account is not yet created and funds are not yet transferred.,the management failed to transfer the unexpended/ unobligated balance of the ldrrmf from the general fund to a special trust fund in the trust fund book,cy 2012 aar,11-dingalan2013_part3-status_of_py's_recommendations.pdf
2599,,"5. the municipality failed to appropriate at least one percent (1%) of its total budget for cy 2012 for the welfare of the senior citizens and differently- abled persons, contrary to the requirement set forth under section 29 of the general provisions of r.a. no. 10155 or the general appropriations act of 2012. we recommended that the management comply with the 1% appropriation requirement for the senior citizens and differently- abled persons during the preparation of its ensuing budgets in order to ensure appropriate funding for programs, projects and activities concerning this specific group. 6. the amount of p200,000.00 appropriated for the gender and development (gad) did not comply with the required minimum of the five percent (5%) of the municipality’s total appropriation contrary to section 36(a) of r.a. 9710",not implemented partially implemented,"lack of funds. though gad plan was created, activities were not implemented.","not provided with appropriation the management provided p200,000.00 appropriation for gad, but did not utilized for the purpose",cy 2012 aar cy 2012 aar,11-dingalan2013_part3-status_of_py's_recommendations.pdf
2600,,"we recommend that management see to it that at least 5% of the annual budget is earmarked for gad and that the appropriated funds are utilized for programs, projects and activities that would address the gender issues in the locality, determined through conduct of gender audit, gender analysis, generation and review of sex- disaggregated data and consultation with gender/women’s rights advocates and agency/women clientele pursuant to section 36(a) of ra 9710. 7. during the year, the municipality of dingalan withheld taxes due from compensation and payments to suppliers for contracts of goods and services in the amount of p2,622,276.99. the amount of p2,710,735.74, including the previous year’s balance of p1,025,253.94, was remitted during the year and p936,795.19 remained unremitted as of dec. 31, 2012.",not implemented,,balance not yet transferred from general fund to trust fund,cy 2012 aar,11-dingalan2013_part3-status_of_py's_recommendations.pdf
2643,,"prepare the i&i report for disposal, and further drop from the books. create a committee to locate/investigate items/units reported not found/lost and destroyed and traced the end-user of these items for proper disposition/pinpointi ng of responsibility/accou ntability. d. transfer all completed assets (day care center) funded from trust fund to general fund for proper recording. e. require the municipal treasurer and municipal accountant to maintain stock, property and ledger cards, respectively to properly account the receipt and disposition of property and supplies. the office of the municipal treasurer should request additional staff for the conduct of the physical inventory. we recommend that",implemente,,all of the,aar,10-bilar2013_status_of_py's_recommendations.pdf
2716,,"makes certain that property cards and acknowledgement receipt for equipment (are) are well maintained, complete and up-dated.",implemented,management.,property cards and acknowledge- ment receipt for equipment (are) are on- going,,10-cainta2013_part3-status_of_py's_recommendations.pdf
2722,,"consider taking legal actions against them. further, we recommended that the accounting office reclassify the balance of p727,007.56 to other receivables account. hereafter, ensure strict compliance with the regulations on the grant, utilization and liquidation of cash advances, particularly the period within which to liquidate the same to avoid accumulation thereof.",not implemented partially implemented,no reason given by management. some accountable officers still failed to settle their cash advances within the prescribed period to liquidate.,no action was taken by the management. a more strict measure is now being employed in the grant of cash advances.,,10-cainta2013_part3-status_of_py's_recommendations.pdf
2735,,"12. the computation of the taxes withheld on government money payments due or payable to all suppliers of goods and/or services were not in accordance to section 114(c) of the national internal revenue code (nirc) as amended by ra no. 9337 and revenue memorandum circular no. 23-2007 dated march 20, 2007. we recommended that the municipal accountant take responsibility to review computations of withholding taxes on government money payments and, immediately, effect the prescribed computation of the same in compliance with revenue memorandum circular no. 23-2007.",fully implemented,,the management complied with the computations of withholding taxes prescribed under bir regulations.,aar cy 2012 finding no. 12,13-cabangan2013_part3-status_of_py's_recommendations.pdf
2736,,"1. lapses on the existing control system over the collections and deposits were noted due to the failure of the treasurer/cashier to deposit collection daily and intact or as the need arises, thus provide a circumstance that the funds might be lost or misapplied for purposes other than those intended for. we recommended that management: a. institute a more stringent but responsive control system on cash management; and b. direct the collecting officer to deposit all collections daily and intact or as the need arises. however, if prevented by justifying circumstances, at least the next banking day.",not implemented,the municipal treasurer failed to deposit collections intact daily. hence the same was reiterated.,,aar cy 2012 finding no. 1,13-cabangan2013_part3-status_of_py's_recommendations.pdf
2737,,"2. the balances of the real property tax receivable and special education tax receivable as of november 30, 2012 amounting to p13,133,017.89 and p11,069,894.63, respectively, as well as their corresponding contra accounts could not be relied upon due to non-compliance with section 20 of new government accounting system (ngas). we recommended that the municipal treasurer request for an additional budget needed to buy the revised form of the rptar and also to pay the salaries of the additional personnel to transfer the data from the old rptar to the revised rptar. once the revised rptar is being used, the municipal treasurer should submit to the municipal accountant a duly certified list showing the names of taxpayers and the amount due and collectibles at the beginning of the year to support the balances of real property and special education tax receivable.",not implemented ,insufficiency of funds to purchase the new forms. , ,aar cy 2012 finding no. 2,13-cabangan2013_part3-status_of_py's_recommendations.pdf
