,audit_observation,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
2842,"13. the municipality failed to utilization of the local disaster risk reduction management fund 12. out of the p5.5 million appropriation for the 5% calamity fund or the local risk reduction management fund (ldrrmf), the municipality utilized p3.1 million for disaster-related programs which is in conformity with republic act no. 10121 of 2010. however, the city failed to transfer the unutilized balance of p2.4 million to a special trust fund for the purpose of disaster risk reduction and management activities within the next five years contrary to section 4.4 of coa circular no. 2012- 002 dated september 12, 2012. we recommended that management direct the accounting division to comply with section 4.4 coa circular no 2012-002 by transferring the unexpended balance of p2.4 million to the special trust fund created solely to support risk reduction and management activities of the municipality for the next five years. ",,as of december not implemented,,cy aom no.12 aar cy- 2012,11-botolan2013_part3-status_of_py's_recommendations.pdf
2843,"3. the accuracy of the recorded balance of the property plant and equipment account with carrying value of p112,627,708.35 is doubtful due to the lapses in internal control on property management, contrary to the pertinent provisions of section 114 and 124 on the ngas manual for lgus. we recommended that management (a) require a composite team, led by the gso, to conduct the physical count of all ppe items and submit the inventory report thereon; (b) require the accounting office and the gso to prepare and maintain property cards, pplces and schedules for the ppe; and (c) strengthen the controls in the handling and recording procedures for the ppe by performing a periodic reconciliation of the records of the accounting, the property and actual inventory results. special accounts for economic enterprise not maintained 4. the municipality failed anew to properly set up and maintain special accounts in the general fund for its economic enterprises, contrary to section 313 of ra 7160 (local government code of 1991) and chapter 6, volume i of the manual on the ngas for lgus, thus precluding the facility to generate separate financial statements and determine the sustainability of their operations. we recommended that management direct the accounting office to (a) maintain sub-accounts with separate set of ledgers for each economic enterprise; (b) prepare separate trial balances and financial statements reflecting the financial condition and results of operations for each economic enterprise; and (c) make use of the financial data to recommend measures to improve the economy, efficiency and effectiveness of the operations of these economic enterprises. ",,not implemented  not implemented,no management response/reply  no management response/reply,aom no.3 aar cy- 2012  aom no.4 aar cy- 2012,11-bulakan2013_part3-status_of_py's_recommendations.pdf
2844,"6. the liquidation reports for confidential and intelligence expenses amounting to p600,000.00 were not submitted to the coa chairman’s office contrary to the provisions of coa circular no. 2003-003, thus preventing the coa from reviewing the validity and regularity of the expenditures thereon. we recommended that management (a) comply with coa circular no. 2003- 003 on the submission to the coa chairman of the liquidation reports for expenditures against intelligence funds; (b) prepare a liquidation report with supporting documents as enumerated in the said coa circular for submission to the coa chairman and allow the grant of additional cash advance only upon receipt of the credit notice or the submission to coa chairman’s office of the liquidation voucher for the previous cash advances; and (c) follow up with the office of the coa chairman on the status of liquidation reports submitted for audit in case of delay in the receipt of credit notice. gender and development audit 7. out of the appropriations of p16,334,242.36 for gender and development (gad)the municipality expended p15,668,388.13 for the implementation of the basic social services integrated into the plan. however, there were no activities directly addressing the concerns of women contrary to ra no. 9710 and other related issuances. we recommended that management (a) harmonize the municipality’s gad’s plan with the magna carta of women and the philippine development plan in order to rationalize and widen the scope of programs/projects/activities in the ensuing years; and (b) convene the focal persons on gad and require them to develop performance or success indicators for each gad ppa. ",,not implemented  not implemented.,no management response/reply  no management response/reply,aom no.6 aar cy- 2012  aom no.7 aar cy- 2012,11-bulakan2013_part3-status_of_py's_recommendations.pdf
2845,"8. out of the 18 projects/activities with appropriations totallingp16,698,793.60 under the 20% development fund, 5 were fully implemented, 5 were almost fully implemented while the remaining 8 were partially implemented, registering a total utilization rate of 85% or p14,140,325.80 at year-end; thus, the municipality failed to attain substantially the desired socio- economic development and environmental management outcomes as envisioned in its annual investment plan. moreover, the expenditures on peace and order and repairs and maintenance of the agency’s facilities aggregating to p1,750,000.00did not partake the nature of capital expenditures contrary to dilg-dbm joint memorandum circular no. 2011- 1 dated april 23, 2011. we recommended that management (a) instruct the mpdo and the local development council (ldc) to abide strictly with the guidelines on the planning and implementation of the projects/activities funded under the 20% development fund; and (b) advise the municipal budget officer to re- appropriate in cy 2013 the unexpended balance of the appropriations pertaining to the unimplemented project /activities. compliance with tax laws 9. the municipality substantially complied with bir regulations on the withholding of taxes and the remittance thereof within the prescribed period in conformity with revenue regulation no. 2-98 dated april 17, 1998. we recommended that management continue to be compliant with revenue regulation no. 2-98 on the withholding of the appropriate taxes from its payment transactions and the remittance within the prescribed period. ",,not implemented.  implemented,no management response/reply  no management response/reply,aom no.8 aar cy- 2012  aom no.9 aar cy- 2012,11-bulakan2013_part3-status_of_py's_recommendations.pdf
2857,"11. collections from business taxes of php 9,334,179.52 registered the lowest amount for the past three (3) years. we recommend that the municipal treasurer should intensify collection of delinquent business taxes by sending them demand letters and thru extensive tax campaign. for locally generated revenues, the lgu relies on collection for business taxes as one of the biggest source of its income. mobilization fee/advance payment paid to contractor was made contrary to section 4.2, annex “e” of the irr-a of ra 9184, hence the agency is at high risk of possible loss of asset. we recommend that management should strictly adhere to the provisions of the irr-a of ra 9184 and related applicable laws and regulations. ",,,,,01-bauang2013_audit_report.pdf
2858,"thirty six (36) disbursement vouchers and accounts amounting to p2,357,438.24 were not supported with complete documentations as required under section 4 (6) of the presidential decree (p.d.) no. 1445, thus suspended in audit. we recommend that the municipal accountant should submit the lacking documents of the disbursement vouchers of the subject expenditures in order to support the legality of the transactions. ",,not implemented. notices of suspension were issued but none was settled.,none,,01-carasi2013_audit_report.pdf
2859,"4.1.period of action on the procurement of goods through public bidding were made shorter than the earliest possible time of 28 calendar days as required under annex “c” of the revised irr of r.a. 9184, hence, cast doubts on the propriety, legality and the possibility that contract which is most advantageous to the government could not be attained. 4.2.list of on-going and awarded contracts but not yet started of the winning bidder, which is used in the computation of the nfcc, is doubtful due to the non-inclusion of some contracts in the statement of all on-going and awarded contract but not yet started. likewise, all completed projects of the contractor in the municipality were not included in the submitted statement of all completed government and private contracts and were not supported by the information required in the bidding documents by the gpbb. 4.3.the performance security in the form of cash bond is insufficient, contrary to sections 37.1.4, 39.2 and 40.3 of the irr of ra 9184, thus the purpose of public bidding was defeated. we recommend that the bac should strictly adhere to the provisions of the irr of the ra 9184 and applicable laws and regulations to avoid disallowance in audit. also, we advise the municipal accountant to submit all the necessary documents for us to be able to make a request for the assistance of the coa technical audit specialist for the inspection of those projects not yet inspected to validate the existence and completeness of all projects in accordance to standards as provided by laws, rules and regulations. ",,,,,01-carasi2013_audit_report.pdf
2860,"1. no bid security for the procurement of infrastructure projects funded out from performance challenge fund (pcf) amounting to php1,982,792.05, which was not in accordance with sec. 27.1 of the ra 9184 and its implementing rules and regulations, hence, competitive public bidding was not attained. 2. unwithdrawn retention fees of the contractor were used as performance securities which is contrary to section 37.1.4.b, 39.2 and 40.3 of the irr-a of r.a. 9184. we recommend that the bac should strictly adhere to the provisions of the irr-a of the ra 9184 and applicable laws and regulations to avoid suspension in audit. ",,,,,01-carasi2013_audit_report.pdf
2861,"1. engineering supervisions (es) incorporated in the approved appropriations for various projects of the municipality was used as honoraria of the members of the municipal project monitoring committee (mpmc), bac, bac secretariat and twg of the municipality, which is contrary to memorandum circular no. 61-a and dilg-dbm joint memorandum circular no. 2011-1 dated april 13, 2011, hence, the public was deprived for more projects that could be financed therefrom. 2. except for the non-government organization (ngo) representative, no law, rules and regulations has granted authority for the pmc members of lgus to receive honorarium, hence, the receipt of p61,000.00 has no legal basis. we recommend for the mpmc members to strictly follow the guidelines provided for the utilization of funds appropriated for various projects and to receive honoraria only when there is specific grant thereof by proper authorities. however, the ngo representatives may be granted an incentive or honorarium but only within the rate to be determined by the rpmc. furthermore, the municipal engineer should remove the separate item of engineering supervision and other government administrative expenses on the appropriated cost of various projects of the municipality to adhere the guidelines for the implementation of ra 7171 and 20% development fund. ",,,,,01-carasi2013_audit_report.pdf
2872,"1. the amount of p32,976.45 was disallowed in audit due to excessive payment on the hazard pay of the municipal health officer, which was not in accordance with the provisions of section 21 of r.a. 7305 and section 7.1 5a of its irr. we recommend the local chief executive to enforce the settlement of all disallowances that has become final and executory for which no appeal has been filed within the reglementary period. 2. cash advances granted to municipal officials and employees in the total amount of p949,845.70 were not liquidated as of december 31, 2012, as required under coa circular no. 97-002. of the total amount, p897,126.30 pertain to cash advances of prior year’s. we recommend the local chief executive to cause or order the withholding of the payment of any money due the accountable officers who failed to liquidate their cash advances after thirty (30) days from receipt of the demand letter from the auditor until they have ",,implemented partially implemented,"the municipal health officer had already settled all her disallowances. some municipal officials and employees had settled their unliquidated cash advances, the total amount of p949,845.70 as",aar 2012 aar 2012,01-caba2013_audit_report.pdf
2873,"completely settled their accounts; and not to grant additional cash advance unless the previous cash advance/s have been settled/liquidated. 3. accountable officers failed to render their accounts and financial and other reports to the office of the auditor within the prescribed period, as required under existing regulations, thus delaying the audit and settlement of accounts. we recommend the local chief executive to require the municipal treasurer and accountant to strictly comply with the submission of accounts with all its supporting documents as required under existing regulations. 4. the report of the municipal treasurer on delinquent stall rentals totaling p239,996.20 were not recorded in the books, thus understating the income and receivable accounts by the same amount as of year-end. we recommend that the treasury office submit to the accounting office the report of delinquent stall rental as basis in recording the corresponding receivable accounts for delinquent stall rentals. likewise, the treasury office should exert more efforts to collect these delinquent stall rentals by issuing notice of delinquency and require the delinquent stallholders to ",,"not yet implemented, hence, reiterated in this report. not yet implemented","of december 31, 2012 reduced to p363,164.17 as of december 31, 2013.",aar 2012 aar 2012,01-caba2013_audit_report.pdf
2874,"surrender their stalls if they could not pay their rentals. 5. the rpt/set receivable established at the beginning of the year was not based on rptar or the taxpayers’ index cards, as required under section 20, volume i of the new government accounting system for local government units (ngas), rendering the balances of the accounts in the total amount of p1,316,819.61 unreliable. we recommend the local chief executive to direct the municipal treasurer to prepare the certified list of taxpayers based on the real property tax account register (rptar) to be furnished the accounting office as basis for the chief accountant to draw a journal entry voucher (jev) to record the debit to rpt receivable/set receivable and credit to deferred rpt income/deferred set income at the beginning of the year; and to expedite the reconciliation of records of both offices. 6. the unexpended balance of the 5% local disaster risk reduction and management fund (ldrrmf) in the amount of p456,603.40 was not transferred to a special trust fund, as required under section 21 of the r.a. no. 10121 and coa circular no. 2012-002. ",,not yet implemented,,aar 2012 aar 2012,01-caba2013_audit_report.pdf
2875,"we recommend that the oic- municipal accountant should transfer to a special trust fund the unexpended balance of p456,603.40 in the 5% local disaster risk reduction and management fund (ldrrmf). 7. the statement of audit suspension, disallowances and charges (sasdc) as of december 31, 2012 showed an unsettled balance of disallowances in the total amount of p545,334.40. we recommended the local chief executive to cause the settlement of the disallowances that has become final and executor for which no appeal has been filed within the reglementary period. ",,implemented partially implemented.,"the municipal health officer had fully refunded her disallowed overpayment of hazard pay. likewise, the disallowed traveling of some municipal officials and employees.",aar 2012,01-caba2013_audit_report.pdf
2976,"the accuracy and propriety of the reported balances of land, land improvements and buildings valued at p96,402,218.79 could not be validated due to the non conduct of physical count and submission of the inventory report. likewise, the reported balances of equipment reflected in the report of inventory of equipment with book value of p35,629,947.00 did not reconcile with the equipment subsidiary ledger balances of the accounting unit by p18,927,939.02 . we recommend that the municipal mayor should instruct the general services officer- designate to submit a complete report of inventory of land, land improvements and buildings and to coordinate with the municipal assessor regarding the verification of tax declarations or titles of land owned by the municipality. also create an appraisal committee composed of municipal assessor as the chairman, assisted with members composed of gso- designate, municipal engineer, and municipal treasurer and coa as witness in the ",,not implemented. reiterated in finding no. 1 of this report.,,,01-badoc2013_audit_report.pdf
2977,appraisal of assets without book value. we further recommend that the supply office should maintain property cards and reconcile with the reported subsidiary ledger balances of the accounting section for proper classification and presentation in the balance sheet at the end of the year in compliance with the aforementioned provisions on inventory checking. ,,,,,01-badoc2013_audit_report.pdf
2978,"the account advances to officers and employees has an outstanding balance of php185,581.00 for cash advances not liquidated for travel and other purposes at the end of the year which is not in conformity with paragraph 3.1.2.1 of coa circular no. 96-004 and paragraphs 5.7 and 5.8 of coa circular no. 97-002, thus resulted in the overstatement of receivable account and understatement of expense account. we recommend that the municipal accountant should demand the immediate liquidation of all cash advances for official travels of officials and employees named in the schedule of cash advances in compliance with the provisions of coa circular nos. 96-004 and 97-002 dated february 10, 1997. ",,implemented.,fully liquidated.,,01-badoc2013_audit_report.pdf
2979,"the total unexpended balances of 5% calamity fund as of december 31, 2012 and 2011 amounting to p1,608,621.90 and p1,293,456.00 respectively were not properly disclosed in the notes to financial statement or transferred to special trust fund which is not in accordance with the provisions of section 5.1.10 of coa circular no. 2012- 002 dated september 12, 2012. ",,not implemented. reiterated in the 2013 audit report,,,01-badoc2013_audit_report.pdf
2980,"we recommend that the municipal accountant and budget officer should strictly comply with the provisions of coa circular no. 2012-002 dated september 12, 2012 for effective management of the fund. ",,,,,01-badoc2013_audit_report.pdf
2981,"some small items with estimated useful life of more than one year with total value of p542,850.00 were directly debited to expenses instead of other supplies inventory and property, plant and equipment- medical equipment and other machineries which is not in accordance with the provisions of section 2.2.1 of coa circular no. 2005-002 dated april 14, 2005 resulting to overstatement of expense account and understatement of asset accounts. we respectfully recommend to the municipal accountant to make the necessary correcting entry in order to reflect the correct amount of actual expenses, asset accounts in the financial statements. ",,implemented.,complied with the recommendation.,,01-badoc2013_audit_report.pdf
2982,"some projects charged from the 20% development fund ( tulong ti barangay ) with total cost of p500,470.00 were not aligned with the guidelines of joint circular no.2011-1 dated april 13, 2011 of the dilg and dbm, thus depriving the benefits derived from the program for its intended beneficiaries. we respectfully recommend to the hon. mayor to instruct the municipal budget officer, mpdc and municipal budget officer to ensure that the 20% of the ira is optimally utilized to help development planners achieve their ",,implemented.,complied with the recommendation.,,01-badoc2013_audit_report.pdf
2983,targeted socio- economic and environmental programs for the general public welfare. ,,,,,01-badoc2013_audit_report.pdf
2984,"the total amount of p230,000.00 was paid as cash gift allowances for public schools elementary and secondary teachers which could have been utilized for the purchase of additional instructional materials to meet the priority needs of school children especially in the remote barangays which is not in consonance with section 271 of ra 7160 and decs, dbm and dilg joint circulars no. 01 series of 1998 and no.01-b series of 2001dated june 25, 2001. we strongly recommend that the prioritization of expenses chargeable to sef be strictly implemented for the current operating expenses of the different schools located in the remote barangays of the municipality and payment of any other allowances or benefits of teachers should be charged only to the general fund of the municipality. ",,implemented.,complied with the recommendation.,,01-badoc2013_audit_report.pdf
2985,"the municipality could have avoided the further deterioration of heavy equipment already condemned with re-appraised book value of p288,500.00 had it sold thru negotiated sale contrary to the provisions of section 53.1.2 of revised implementing rules and regulations of ra 9184. we recommend the management to instruct the bids and award committee to prioritize the disposition of these property after two successive failures of public bidding thru negotiated sale in compliance ",,implemented.,sold through public bidding.,,01-badoc2013_audit_report.pdf
2986,with the aforementioned provisions of ra 9184 in order to avoid further deterioration of their scrap value of which proceeds from sale would have been utilized for the immediate repair of other facilities of the municipality. ,,,,,01-badoc2013_audit_report.pdf
2987,"summary of supplies and materials issued on drugs and medicines were not prepared and submitted by the municipal health officer to the accounting unit as a basis in preparing the jev to drop the actual cost of medicines consumed worth p1,935,695.39 as required under sections 121 of ngas vol. 1 of the lgus, thus the inventory account was not fairly presented in the financial statements. the required reports were not attached to the jev and furnished to the auditor and gso-designate. ",,partially implemented.,the municipal health office committed to comply with the required reports.,,01-badoc2013_audit_report.pdf
2988,"the accuracy and propriety of the accounts under the property, plant and equipment (ppe) with book value of p83,721,017.50 could not be determined due to non- conduct of actual physical inventory of all property of the municipality and the non submission of year-end inventory report for almost four (4) consecutive years now. the major function of the gso office to account physically all property has been neglected which is not in accordance with section 124, volume 1 of the manual on the new government accounting system (ngas) for local government units (lgus). the management should create an inventory team to conduct physical count of property plant and equipment composed of a representative of the municipal mayor, ",,partially implemented. reiterated in finding no. 1 of this report.,,,01-badoc2013_audit_report.pdf
2989,"accounting and the gso officer, engineering office and coa, as witness. in addition, the team should conduct a renewal of property acknowledgment receipts including the assigning of property numbers to each property to safeguard assets efficiently and to avoid possible loss of government properties. ",,,,,01-badoc2013_audit_report.pdf
2990,"appropriation for other personnel benefits to public health workers amounting to p123,000.00 under the municipal health office for the grant of subsistence allowance and laundry allowance to 10 public health workers in the 2010 budget were still based from the old rate of p30 per day or p900.00 per month and p125.00 per month for subsistence allowance and laundry allowance, respectively, which are lesser than the new rates provided in r.a. 7305 otherwise known as the magna carta for public health workers. the municipality should provide funds for the deficiency of p625.00 per month or p7,500.00 for each phw to conform with the rates under ra 7305 in case there is an increase in ira. this will in a way increase the morale of the public health workers to render quality health services in their respective barangays and municipality, which are among the objectives provided in ra 7305. ",,not implemented. no funds available for the purpose.,,,01-badoc2013_audit_report.pdf
2991,"loans granted to tobacco farmers amounting to php486,190.04 in 2007 remained outstanding during the year in audit; hence, management did not allocate additional funds for this purpose. the management should coordinate with the nta, who is actually the agency in ",,not implemented.,management is considering to issue demand letters enforcing collection.,,01-badoc2013_audit_report.pdf
2992,"charge of collection as agreed upon in the memorandum of agreement, to intensify the collections of loans. likewise, issue demand letters to the concerned tobacco farmers, to serve as evidence, in case management would request for its write-off in the future. ",,,,,01-badoc2013_audit_report.pdf
2993,"charges to drugs and medicines account amounting to php2,464,346.50 for 2009 remained doubtful which could be attributed to weak internal control system on the receipts and issuances of the same. likewise, the management did not conduct an actual physical count of drugs and medicines as of year-end resulting to non- recognition of drugs and medicines inventory in the financial statements. in order to strengthen the internal control procedures on the receipt and issuance of drugs and medicines, control measures are recommended pursuant to pertinent provisions of ngas for lgus. ",,partially implemented.,management committed to comply with the requirements.,,01-badoc2013_audit_report.pdf
2994,"15 the use of the government electronic procurement system (g-eps) in the procurement of supplies has not been complied with in violation of section 8.3.3 of the irr-a of ra 9184, otherwise known as the government procurement reform act. we recommended that the bids and awards committee should comply strictly with the provision of republic act 9184 on the use of g-eps in compliance with the law and to obtain a wide variety of items as well as suppliers to be considered in the conduct of bidding. ",,not implemented,the management has not been complying with the audit recommendation.,aar2012 reiterated observation in 2013,03-allacapan2013_part3-status_of_pys_audit_recommendations.pdf
2995,"1 expenses amounting to p1,029,443.23 were incurred for job orders, which were hired for no apparent specific projects that were approved by the sangguniang bayan, in contravention of section 77 of r.a 7160. we required that the local chief executive revisit the hiring policy under the contract of service and job order and conform with the requirements of section 77 of r.a 7160 and pertinent csc regulations. specify projects that necessitate the employment of job orders and ensure approval by the sanggunian concerned. likewise, review the scope of work called for in the contract of service/job orders against available plantilla positions to ensure non-duplication of functions. ",,not implemented,there were still job orders who were hired which the management did not follow the prescribed rules and regulations.,aar 2010 and 2011 aar. reiterated observation in 2012,03-allacapan2013_part3-status_of_pys_audit_recommendations.pdf
2997,"3 collections amounting to p1,557,074.12 were allowed to remain in the custody of the collecting officers contrary to section 15 of the ngas manual for lgus which deprived the municipality of the early use of its locally generated funds aside from exposing the amount to unnecessary risks of misuse, loss or misappropriation. we required management to implement the following: 1. that collections should be remitted promptly and intact in conformity with rules and regulations to prevent unnecessary vales and borrowings of some officials and employees, 2. that the liquidating officer should properly check the remittances, together with the duplicate and unused official receipts to prevent lapping of collections. likewise, collecting officers should not be given several official receipts without liquidating the previous ors withdrawn. ",,partially implemented,the municipal treasury office did not fully comply with the audit recommendations.,aar 2012,03-allacapan2013_part3-status_of_pys_audit_recommendations.pdf
2999,"5 payment/reimbursement/ liquidation of travel expenses of several officials and employees of the municipality while on official business were not in accordance with the provisions of section 4 and 10 of executive order 298 dated march 23, 2004. we required the municipal accountant to monitor liquidation of cash advances previously granted to officials and employees. the accounting office which serves as the internal auditor must see to it that travel expenses should be properly and correctly computed to prevent disallowances in audit. ",,partially implemented,"the management exerted effort in the monitoring of liquidations, however, there were still some accountable officers who were not able to settle their .cash advances.","aar 2008, 2009,2010, 2011 and 2012. reiterated observation in 2013.",03-allacapan2013_part3-status_of_pys_audit_recommendations.pdf
3001,"7. the procurement of goods were not made through competitive public bidding, contrary to the pertinent provisions of ra 9184 and its implementing rules and regulations (irr) of 2009. we required the consolidation of quarterly procurement needs of the municipality so as to purchase in bulk through competitive bidding to avail of discount in the advantage of the government. ",,not implemented,the management did not comply with the audit recommendations.,"aar 2008, 2009, 2010, 2011 and 2012.",03-allacapan2013_part3-status_of_pys_audit_recommendations.pdf
3003,9. the municipality failed to implement the provisions of section 3.d of the stall lease contract causing the continuous occupancy of the lessee in spite of default in the payment of monthly stall rental fees. we required the management to strictly adhere to the provisions as stipulated in the contract of lease. ,,partially implemented,the management is in the process of improving collections of stall lease monthly rental.,"aar 2010, 2011 and 2012.",03-allacapan2013_part3-status_of_pys_audit_recommendations.pdf
3005,"12 the balance of due to bureau of internal revenue (bir) amounting to p466,287.81 was not remitted at the end of the year, contrary to revenue regulations no. 14-2002 dated september 9, 2002. we recommended that the lgu should adhere strictly to the provisions of the above-cited tax revenue regulations. ",,partially implemented,"the management failed to remit taxes withheld for the month of december due to the cut-off date in the closing of books. however, the same was remitted before the 10th of january of the ensuing year.","aar 2008, 2009, 2010, 2011 and 2012.",03-allacapan2013_part3-status_of_pys_audit_recommendations.pdf
3006,"13 the perpetual inventory method in recording purchases of supplies and materials is not followed thus, all purchases were recorded directly as expense. we recommended that the lgu should provide stockroom and for the municipal accountant to implement the perpetual inventory system. ",,not implemented,"supplies and materials were directly issued to end-users, hence, audit recommendations were not complied with.",aar 2010 and 2011.,03-allacapan2013_part3-status_of_pys_audit_recommendations.pdf
3159,"1.cash advances granted to various officials and employees of the municipality amounting to 1,200,873.22 remained unliquidated at year-end, in violation of coa circular 97-002 dated february 10, 1997. we recommended that the concerned officials and employees should immediately settle their unliquidated cash advances. if warranted, withholding of salaries of those who failed to comply with the rules and regulations must be imposed. moreover, the practice of granting additional cash advances to those with unliquidated balances should be stopped. ",,"d d t there is a remarkable decrease of the unliquidated cash advances under the general fund as follows: year 2012 bal.: 1,226,246.19 educt:year 2013bal.: 73,,495.45 total decrease: 1,152,750.74 however, there was an increase of 10,300.00 as of december 31, 2013 under the special education fund as follows: year 2012 bal.: 103,096.12 educt year 2013 bal.: 113,396.12 otal increase: 10,300.00",partial implementa- tion,aar 2012- page- 23,03-amulung2013_part3-status_of_py's_recommendations.pdf
3160,"2.the reciprocal accounts due from other funds and due to other funds showed a discrepancy of 44,331.41, contrary to section 111 of p.d. 1445 and the revised chart of accounts prescribed under coa circular no. 2003-001 dated june 17, 2003, thus rendering the accounts unreliable. in view of the foregoing, we recommended that the municipal accountant: a. explain the difference of 44,331.41 between the two reciprocal accounts and review thoroughly the journal entry vouchers and monitor the recording of financial transactions; b. coordinate with the employees in charge of the gf, sef and tf in order for them to simultaneously record the reciprocal accounts to avoid unreconciled balances; c. reconcile and effect the corrections and adjustments to the accounts. ",,"the municipal accountant mentioned in his letter dated december 13, 2013 that there is a debit balance under “due from other funds in the general fund which remained none-moving since december 31, 2008. due to absence of records and other documents to verify, she acknowledge that the immediate reconciliation on the account could not be made possible.",partially implemented,aar 2012- page- 23,03-amulung2013_part3-status_of_py's_recommendations.pdf
3162,"4.petty cash fund amounting to 50,000.00 as of december 31, 2012 remained unliquidated contrary to section 48 of the manual on the new government accounting system (mngas) for local government units, thus understating the recorded expenses in the financial statements. we recommended that the petty cash officer should comply with section 48 of the mngas for lgus, volume i especially on the liquidation of the pcf at the end of the year. the report of disbursements together with the summary of pcvs paid and the pcvs with its supporting documents should be submitted on or before the closing of the books of accounts in the accounting section. likewise, all unused petty cash should be strictly deposited to the municipal treasurer and the latter to issue the corresponding official receipts. ",,"although the municipal treasurer in her letter dated december 10, 2013, it was learned that the liquidation report amounting p49,088.75 was submitted, though the accounting section failed to recognized the booking up in the year- end financial statement. the amount of p911.25 was also receipted at the end of the year under audit.",implemented. .,aar 2012- page- 26,03-amulung2013_part3-status_of_py's_recommendations.pdf
3163,"5.property, plant and equipment account was not supported with the required report on the physical count of property, plant and equipment (rpcppe) in violation of sections 124, volume i of the mngas for lgu, thereby rendering the year-end balance amounting to ₱99,567,702.71 doubtful. we recommended that management to instruct the inventory team/committee that will conduct a complete physical inventory of all ppe at least once a year and furnish the municipal accountant and the general services officer with a report to reconcile with their respective records for the accurate presentation of the balances of the ppe accounts in the financial statements. we also recommended that the gso should update all his records as basis of the municipal accountant to reconcile the amount posted in their property and equipment ledger card as against the records in the gso to effect reclassification or adjustment, if any, to arrive at a reconciled amount in the financial statement. ",,"the general service officer submitted only a copy of “inventory of plant, equipments, furnitures and fixtures and not the required report on the physical count of property, plant and equipment (rpcppe). our audit recommendation is reiterated in the 2013 annual audit report.",not implemented.,aar 2012- page- 28,03-amulung2013_part3-status_of_py's_recommendations.pdf
3166,"8.real property and special education tax receivables amounting to 2,759,115.24 and 867,055.05, respectively, were not supported with real property tax account register/taxpayer’s index card contrary to section 20 of the manual on the new government accounting system for lgu, volume i. moreover, the accounts showed an unreconciled amount of p1,892,060.19 thus, affecting the reliability of the accounts in the financial statements. we recommended that the municipal treasurer should prepare the certified list of real property taxpayers with the corresponding amount of rpt/set due and collectible each year as basis in setting up the correct rpt/set receivables by the accountant. the municipal accountant should make proper coordination with the municipal treasurer and secure copies of the accomplished identified taxpayer cards as basis in posting the accounts receivable accounts. this is to ensure that the respective accounts are accurately presented in the financial statements. ",,"the municipal treasurer reasoned out in her letter dated december 10, 2013 that the municipality composed of a huge number of taxpayers in order to come up with the required listings of identified taxpayer in support to the preparation of jev of rpt/set receivables by the municipal accountant. however, she committed herself all efforts to do and submit the required listings of identified taxpayers.",not implemented.,aar 2012- page- 32,03-amulung2013_part3-status_of_py's_recommendations.pdf
3167,"o 9.collections totaling to 615,810.98 were not deposited as f year-end contrary to section 32 of the manual on the new government accounting system (mngas) for local government units, volume i, thus depriving the local government of timely utilization of available cash resources and paving the way to possible loss or misapplication of government funds. we recommended that the municipal treasurer should deposit all her collections to the authorized depository bank promptly and intact to prevent the misapplication and loss of government funds. ",,deposited in the ensuing year,implemented,aar 2012- page- 34,03-amulung2013_part3-status_of_py's_recommendations.pdf
3168,"10.the municipal government of amulung failed to maintain special accounts of the 20% development fund in the general fund as required under section 313 of ra 7160 and section 105 of the manual on the new government accounting system (mngas) for local government units, volume 1. we recommended that the accounting office maintain sub- accounts consisting of separate sets of ledgers for each of the enterprise, reflecting the financial condition and results of their respective operations, in accordance with existing regulations. ",,the municipal accountant informed in her letter to the local chief executive that they already forwarded request-letter to the legislative body for the affirmation on the creation of a new books of the account/s.,not implemented,aar 2012- page- 35,03-amulung2013_part3-status_of_py's_recommendations.pdf
3169,"11.the municipality failed to maintain an adequate and secured motor pool for heavy equipments and motor vehicles, thus exposing these property to inclement weather that may result to faster deterioration and possible loss of spareparts due to theft or pilferage. we recommended to management to prioritize the improvement of existing motorpool to accommodate government vehicles and equipment considering the expanding number of newly purchased vehicles. more importantly, this is to safeguard the government properties from being exposed to harsh weather conditions that will hasten their deterioration and from possible loss of their spare parts due to theft occasioned by the intrusion of unauthorized persons. ",,"engr. rousseau d. aquino, zoning inspector i, a representative from the municipal engineer office revealed in his letter dated december 9, 2013 that the contruction of motorpool building and alternate main gate with a contract cost of p1,261,142.33 is already implemented with an ongoing work accomplishment of 44.97% as of december 9, 2013.",partially implemented.,aar 2012- page- 37,03-amulung2013_part3-status_of_py's_recommendations.pdf
3171,"d 13.expenditures amounting to 699,000.00 from the 70% pre- isaster allocation of the local disaster risk reduction management fund (ldrrmf) was spent for the acquisition of seedlings contrary to section 3.1 of coa circular no. 2012-002 and ra 10121. we recommended that the agency should disburse funds in accordance with the purpose for which it was established. likewise, projects and activities contained in the annual work plan of the ldrrmf must also be in accordance with the pre- disaster and post-disaster requirements as contained on sections 3.1 to 3.4 of coa circular no. 2012-002 dated september 12, 2012 and ra 10121. ",,management did not anymore committed similar expenditures.,implemented,aar 2012- page- 41,03-amulung2013_part3-status_of_py's_recommendations.pdf
